Force (N)	Position (mm)	Stress (MPa)	Strain (%)	Time (min)
14800	13.8	431	22.4	13.8
14800	13.8	431	22.4	13.8
14800	13.8	431	22.4	13.8
14800	13.8	431	22.5	13.8
14800	13.8	431	22.5	13.8
14800	13.8	431	22.5	13.8
14800	13.8	431	22.5	13.9
14800	13.9	431	22.5	13.9
14800	13.9	431	22.5	13.9
14800	13.9	431	22.5	13.9
14800	13.9	431	22.5	13.9
14800	13.9	431	22.5	13.9
14800	13.9	431	22.5	13.9
14800	13.9	431	22.5	13.9
14800	13.9	431	22.5	13.9
14800	13.9	431	22.5	13.9
14800	13.9	431	22.5	13.9
14800	13.9	431	22.6	13.9
14800	13.9	431	22.6	13.9
14800	13.9	431	22.6	13.9
14800	13.9	431	22.6	13.9
14800	13.9	431	22.6	13.9
14800	13.9	431	22.6	13.9
14800	13.9	431	22.6	13.9
14800	13.9	431	22.6	13.9
14800	13.9	431	22.6	13.9
14800	13.9	431	22.6	13.9
14800	13.9	431	22.6	13.9
14800	13.9	431	22.6	13.9
14800	13.9	431	22.6	14.0
14800	14.0	431	22.6	14.0
14800	14.0	431	22.7	14.0
14800	14.0	431	22.7	14.0
14800	14.0	431	22.7	14.0
14800	14.0	431	22.7	14.0
14800	14.0	431	22.7	14.0
14800	14.0	431	22.7	14.0
14800	14.0	431	22.7	14.0
14800	14.0	431	22.7	14.0
14800	14.0	431	22.7	14.0
14800	14.0	431	22.7	14.0
14800	14.0	431	22.7	14.0
14800	14.0	431	22.7	14.0
14800	14.0	431	22.7	14.0
14800	14.0	431	22.7	14.0
14800	14.0	431	22.8	14.0
14800	14.0	431	22.8	14.0
14800	14.0	431	22.8	14.0
14800	14.0	431	22.8	14.0
14800	14.0	431	22.8	14.0
14800	14.0	431	22.8	14.0
14800	14.0	431	22.8	14.0
14800	14.0	431	22.8	14.1
14800	14.1	431	22.8	14.1
14800	14.1	431	22.8	14.1
14800	14.1	431	22.8	14.1
14800	14.1	431	22.8	14.1
14800	14.1	431	22.8	14.1
14800	14.1	431	22.9	14.1
14800	14.1	431	22.9	14.1
14800	14.1	431	22.9	14.1
14800	14.1	431	22.9	14.1
14800	14.1	431	22.9	14.1
14800	14.1	431	22.9	14.1
14800	14.1	431	22.9	14.1
14800	14.1	431	22.9	14.1
14800	14.1	431	22.9	14.1
14800	14.1	431	22.9	14.1
14800	14.1	431	22.9	14.1
14800	14.1	431	22.9	14.1
14800	14.1	431	22.9	14.1
14800	14.1	431	22.9	14.1
14800	14.1	431	22.9	14.1
14800	14.1	431	23.0	14.1
14800	14.1	431	23.0	14.2
14800	14.2	431	23.0	14.2
14800	14.2	431	23.0	14.2
14800	14.2	431	23.0	14.2
14800	14.2	431	23.0	14.2
14800	14.2	431	23.0	14.2
14800	14.2	431	23.0	14.2
14800	14.2	431	23.0	14.2
14800	14.2	431	23.0	14.2
14800	14.2	431	23.0	14.2
14800	14.2	431	23.0	14.2
14800	14.2	431	23.0	14.2
14800	14.2	431	23.1	14.2
14800	14.2	431	23.1	14.2
14800	14.2	431	23.1	14.2
14800	14.2	431	23.1	14.2
14800	14.2	431	23.1	14.2
14800	14.2	431	23.1	14.2
14800	14.2	431	23.1	14.2
14800	14.2	431	23.1	14.2
14800	14.2	431	23.1	14.2
14800	14.2	431	23.1	14.2
14800	14.2	431	23.1	14.2
14800	14.2	431	23.1	14.3
14800	14.3	431	23.1	14.3
14800	14.3	431	23.1	14.3
14800	14.3	431	23.2	14.3
14800	14.3	431	23.2	14.3
14800	14.3	431	23.2	14.3
14800	14.3	431	23.2	14.3
14800	14.3	431	23.2	14.3
14800	14.3	431	23.2	14.3
14800	14.3	431	23.2	14.3
14800	14.3	431	23.2	14.3
14800	14.3	431	23.2	14.3
14800	14.3	431	23.2	14.3
14800	14.3	431	23.2	14.3
14800	14.3	431	23.2	14.3
14800	14.3	431	23.2	14.3
14800	14.3	431	23.2	14.3
14800	14.3	431	23.3	14.3
14800	14.3	431	23.3	14.3
14800	14.3	431	23.3	14.3
14800	14.3	431	23.3	14.3
14800	14.3	431	23.3	14.3
14800	14.3	431	23.3	14.4
14800	14.4	431	23.3	14.4
14800	14.4	431	23.3	14.4
14800	14.4	431	23.3	14.4
14800	14.4	431	23.3	14.4
14800	14.4	431	23.3	14.4
14800	14.4	431	23.3	14.4
14800	14.4	431	23.3	14.4
14800	14.4	431	23.3	14.4
14800	14.4	431	23.4	14.4
14800	14.4	431	23.4	14.4
14800	14.4	431	23.4	14.4
14800	14.4	431	23.4	14.4
14800	14.4	431	23.4	14.4
14800	14.4	431	23.4	14.4
14800	14.4	431	23.4	14.4
14800	14.4	431	23.4	14.4
14800	14.4	431	23.4	14.4
14800	14.4	431	23.4	14.4
14800	14.4	431	23.4	14.4
14800	14.4	431	23.4	14.4
14800	14.4	431	23.4	14.4
14800	14.4	431	23.4	14.4
14800	14.4	431	23.5	14.5
14800	14.5	431	23.5	14.5
14800	14.5	431	23.5	14.5
14800	14.5	431	23.5	14.5
14800	14.5	431	23.5	14.5
14800	14.5	431	23.5	14.5
14800	14.5	431	23.5	14.5
14800	14.5	431	23.5	14.5
14800	14.5	431	23.5	14.5
14800	14.5	431	23.5	14.5
14800	14.5	431	23.5	14.5
14800	14.5	431	23.5	14.5
14800	14.5	431	23.5	14.5
14800	14.5	431	23.5	14.5
14800	14.5	431	23.6	14.5
14800	14.5	431	23.6	14.5
14800	14.5	431	23.6	14.5
14800	14.5	431	23.6	14.5
14800	14.5	431	23.6	14.5
14800	14.5	431	23.6	14.5
14800	14.5	431	23.6	14.5
14800	14.5	431	23.6	14.5
14800	14.5	431	23.6	14.5
14800	14.5	431	23.6	14.6
14800	14.6	431	23.6	14.6
14800	14.6	431	23.6	14.6
14800	14.6	432	23.6	14.6
14800	14.6	431	23.6	14.6
14800	14.6	431	23.7	14.6
14800	14.6	432	23.7	14.6
14800	14.6	431	23.7	14.6
14800	14.6	431	23.7	14.6
14800	14.6	432	23.7	14.6
14800	14.6	432	23.7	14.6
14800	14.6	431	23.7	14.6
14800	14.6	431	23.7	14.6
14800	14.6	431	23.7	14.6
14800	14.6	431	23.7	14.6
14800	14.6	431	23.7	14.6
14800	14.6	431	23.7	14.6
14800	14.6	431	23.7	14.6
14800	14.6	431	23.7	14.6
14800	14.6	432	23.8	14.6
14800	14.6	432	23.8	14.6
14800	14.6	431	23.8	14.6
14800	14.6	432	23.8	14.7
14800	14.7	431	23.8	14.7
14800	14.7	431	23.8	14.7
14800	14.7	431	23.8	14.7
14800	14.7	431	23.8	14.7
14800	14.7	431	23.8	14.7
14800	14.7	431	23.8	14.7
14800	14.7	431	23.8	14.7
14800	14.7	431	23.8	14.7
14800	14.7	431	23.8	14.7
14800	14.7	432	23.8	14.7
14800	14.7	432	23.9	14.7
14800	14.7	431	23.9	14.7
14800	14.7	432	23.9	14.7
14800	14.7	432	23.9	14.7
14800	14.7	431	23.9	14.7
14800	14.7	432	23.9	14.7
14800	14.7	432	23.9	14.7
14800	14.7	431	23.9	14.7
14800	14.7	432	23.9	14.7
14800	14.7	432	23.9	14.7
14800	14.7	431	23.9	14.7
14800	14.7	431	23.9	14.7
14800	14.7	432	23.9	14.8
14800	14.8	432	23.9	14.8
14800	14.8	432	24.0	14.8
14800	14.8	432	24.0	14.8
14800	14.8	432	24.0	14.8
14800	14.8	432	24.0	14.8
14800	14.8	432	24.0	14.8
14800	14.8	432	24.0	14.8
14800	14.8	432	24.0	14.8
14800	14.8	432	24.0	14.8
14800	14.8	432	24.0	14.8
14800	14.8	432	24.0	14.8
14800	14.8	432	24.0	14.8
14800	14.8	432	24.0	14.8
14800	14.8	432	24.0	14.8
14800	14.8	432	24.0	14.8
14800	14.8	432	24.1	14.8
14800	14.8	432	24.1	14.8
14800	14.8	432	24.1	14.8
14800	14.8	432	24.1	14.8
14800	14.8	432	24.1	14.8
14800	14.8	432	24.1	14.8
14800	14.8	432	24.1	14.8
14800	14.8	432	24.1	14.9
14800	14.9	432	24.1	14.9
14800	14.9	432	24.1	14.9
14800	14.9	432	24.1	14.9
14800	14.9	432	24.1	14.9
14800	14.9	432	24.1	14.9
14800	14.9	432	24.1	14.9
14800	14.9	432	24.2	14.9
14800	14.9	432	24.2	14.9
14800	14.9	432	24.2	14.9
14800	14.9	432	24.2	14.9
14800	14.9	432	24.2	14.9
14800	14.9	432	24.2	14.9
14800	14.9	432	24.2	14.9
14800	14.9	432	24.2	14.9
14800	14.9	432	24.2	14.9
14800	14.9	432	24.2	14.9
14800	14.9	432	24.2	14.9
14800	14.9	432	24.2	14.9
14800	14.9	432	24.2	14.9
14800	14.9	432	24.3	14.9
14800	14.9	432	24.3	14.9
14800	14.9	432	24.3	15.0
14800	15.0	432	24.3	15.0
14800	15.0	432	24.3	15.0
14800	15.0	432	24.3	15.0
14800	15.0	432	24.3	15.0
14800	15.0	432	24.3	15.0
14800	15.0	432	24.3	15.0
14800	15.0	432	24.3	15.0
14800	15.0	432	24.3	15.0
14800	15.0	432	24.3	15.0
14800	15.0	432	24.3	15.0
14800	15.0	432	24.3	15.0
14800	15.0	432	24.3	15.0
14800	15.0	432	24.4	15.0
14800	15.0	432	24.4	15.0
14800	15.0	432	24.4	15.0
14800	15.0	432	24.4	15.0
14800	15.0	432	24.4	15.0
14800	15.0	432	24.4	15.0
14800	15.0	432	24.4	15.0
14800	15.0	432	24.4	15.0
14800	15.0	432	24.4	15.0
14800	15.0	432	24.4	15.0
14800	15.0	432	24.4	15.1
14800	15.1	432	24.4	15.1
14800	15.1	432	24.4	15.1
14800	15.1	432	24.5	15.1
14800	15.1	432	24.5	15.1
14800	15.1	432	24.5	15.1
14800	15.1	432	24.5	15.1
14800	15.1	432	24.5	15.1
14800	15.1	432	24.5	15.1
14800	15.1	432	24.5	15.1
14800	15.1	432	24.5	15.1
14800	15.1	432	24.5	15.1
14800	15.1	432	24.5	15.1
14800	15.1	432	24.5	15.1
14800	15.1	432	24.5	15.1
14800	15.1	432	24.5	15.1
14800	15.1	432	24.5	15.1
14800	15.1	432	24.6	15.1
14800	15.1	432	24.6	15.1
14800	15.1	432	24.6	15.1
14800	15.1	432	24.6	15.1
14800	15.1	432	24.6	15.1
14800	15.1	432	24.6	15.2
14800	15.2	432	24.6	15.2
14800	15.2	432	24.6	15.2
14800	15.2	432	24.6	15.2
14800	15.2	432	24.6	15.2
14800	15.2	432	24.6	15.2
14800	15.2	432	24.6	15.2
14800	15.2	432	24.6	15.2
14800	15.2	432	24.6	15.2
14800	15.2	432	24.7	15.2
14800	15.2	432	24.7	15.2
14800	15.2	432	24.7	15.2
14800	15.2	432	24.7	15.2
14800	15.2	432	24.7	15.2
14800	15.2	432	24.7	15.2
14800	15.2	432	24.7	15.2
14800	15.2	432	24.7	15.2
14800	15.2	432	24.7	15.2
14800	15.2	432	24.7	15.2
14800	15.2	432	24.7	15.2
14800	15.2	432	24.7	15.2
14800	15.2	432	24.7	15.2
14800	15.2	432	24.7	15.2
14800	15.2	432	24.8	15.3
14800	15.3	432	24.8	15.3
14800	15.3	432	24.8	15.3
14800	15.3	432	24.8	15.3
14800	15.3	432	24.8	15.3
14800	15.3	432	24.8	15.3
14800	15.3	432	24.8	15.3
14800	15.3	432	24.8	15.3
14800	15.3	432	24.8	15.3
14800	15.3	432	24.8	15.3
14800	15.3	432	24.8	15.3
14800	15.3	432	24.8	15.3
14800	15.3	432	24.8	15.3
14800	15.3	432	24.8	15.3
14800	15.3	432	24.9	15.3
14800	15.3	432	24.9	15.3
14800	15.3	432	24.9	15.3
14800	15.3	432	24.9	15.3
14800	15.3	432	24.9	15.3
14800	15.3	432	24.9	15.3
14800	15.3	432	24.9	15.3
14800	15.3	432	24.9	15.3
14800	15.3	432	24.9	15.3
14800	15.3	432	24.9	15.4
14800	15.4	432	24.9	15.4
14800	15.4	432	24.9	15.4
14800	15.4	432	24.9	15.4
14800	15.4	432	24.9	15.4
14800	15.4	432	25.0	15.4
14800	15.4	432	25.0	15.4
14800	15.4	432	25.0	15.4
14800	15.4	432	25.0	15.4
14800	15.4	432	25.0	15.4
14800	15.4	432	25.0	15.4
14800	15.4	432	25.0	15.4
14800	15.4	432	25.0	15.4
14800	15.4	432	25.0	15.4
14800	15.4	432	25.0	15.4
14800	15.4	432	25.0	15.4
14800	15.4	432	25.0	15.4
14800	15.4	432	25.0	15.4
14800	15.4	432	25.0	15.4
14800	15.4	432	25.1	15.4
14800	15.4	432	25.1	15.4
14800	15.4	432	25.1	15.4
14800	15.4	432	25.1	15.5
14800	15.5	432	25.1	15.5
14800	15.5	432	25.1	15.5
14800	15.5	432	25.1	15.5
14800	15.5	432	25.1	15.5
14800	15.5	432	25.1	15.5
14800	15.5	432	25.1	15.5
14800	15.5	432	25.1	15.5
14800	15.5	432	25.1	15.5
14800	15.5	432	25.1	15.5
14800	15.5	432	25.1	15.5
14800	15.5	432	25.2	15.5
14800	15.5	432	25.2	15.5
14800	15.5	432	25.2	15.5
14800	15.5	432	25.2	15.5
14800	15.5	432	25.2	15.5
14800	15.5	432	25.2	15.5
14800	15.5	432	25.2	15.5
14800	15.5	432	25.2	15.5
14800	15.5	432	25.2	15.5
14800	15.5	432	25.2	15.5
14800	15.5	432	25.2	15.5
14800	15.5	432	25.2	15.5
14800	15.5	432	25.2	15.6
14800	15.6	432	25.2	15.6
14800	15.6	432	25.3	15.6
14800	15.6	432	25.3	15.6
14800	15.6	432	25.3	15.6
14800	15.6	432	25.3	15.6
14800	15.6	432	25.3	15.6
14800	15.6	432	25.3	15.6
14800	15.6	432	25.3	15.6
14800	15.6	432	25.3	15.6
14800	15.6	432	25.3	15.6
14800	15.6	432	25.3	15.6
14800	15.6	432	25.3	15.6
14800	15.6	432	25.3	15.6
14800	15.6	432	25.3	15.6
14800	15.6	432	25.3	15.6
14800	15.6	432	25.4	15.6
14800	15.6	432	25.4	15.6
14800	15.6	432	25.4	15.6
14800	15.6	432	25.4	15.6
14800	15.6	432	25.4	15.6
14800	15.6	432	25.4	15.6
14800	15.6	432	25.4	15.7
14800	15.6	432	25.4	15.7
14800	15.7	432	25.4	15.7
14800	15.7	432	25.4	15.7
14800	15.7	432	25.4	15.7
14800	15.7	432	25.4	15.7
14800	15.7	432	25.4	15.7
14800	15.7	432	25.4	15.7
14800	15.7	432	25.5	15.7
14800	15.7	432	25.5	15.7
14800	15.7	432	25.5	15.7
14800	15.7	432	25.5	15.7
14800	15.7	432	25.5	15.7
14800	15.7	432	25.5	15.7
14800	15.7	432	25.5	15.7
14800	15.7	432	25.5	15.7
14800	15.7	432	25.5	15.7
14800	15.7	432	25.5	15.7
14800	15.7	432	25.5	15.7
14800	15.7	432	25.5	15.7
14800	15.7	432	25.5	15.7
14800	15.7	432	25.5	15.7
14800	15.7	432	25.6	15.7
14800	15.7	432	25.6	15.8
14800	15.8	432	25.6	15.8
14800	15.8	432	25.6	15.8
14800	15.8	432	25.6	15.8
14800	15.8	432	25.6	15.8
14800	15.8	432	25.6	15.8
14800	15.8	432	25.6	15.8
14800	15.8	432	25.6	15.8
14800	15.8	432	25.6	15.8
14800	15.8	432	25.6	15.8
14800	15.8	432	25.6	15.8
14800	15.8	432	25.6	15.8
14800	15.8	432	25.6	15.8
14800	15.8	432	25.7	15.8
14800	15.8	432	25.7	15.8
14800	15.8	432	25.7	15.8
14800	15.8	432	25.7	15.8
14800	15.8	432	25.7	15.8
14800	15.8	432	25.7	15.8
14800	15.8	432	25.7	15.8
14800	15.8	432	25.7	15.8
14800	15.8	432	25.7	15.8
14800	15.8	432	25.7	15.8
14800	15.8	432	25.7	15.9
14800	15.9	432	25.7	15.9
14800	15.9	432	25.7	15.9
14800	15.9	432	25.7	15.9
14800	15.9	432	25.8	15.9
14800	15.9	432	25.8	15.9
14800	15.9	432	25.8	15.9
14800	15.9	432	25.8	15.9
14800	15.9	432	25.8	15.9
14800	15.9	432	25.8	15.9
14800	15.9	432	25.8	15.9
14800	15.9	432	25.8	15.9
14800	15.9	432	25.8	15.9
14800	15.9	432	25.8	15.9
14800	15.9	432	25.8	15.9
14800	15.9	432	25.8	15.9
14800	15.9	432	25.8	15.9
14800	15.9	432	25.9	15.9
14800	15.9	432	25.9	15.9
14800	15.9	432	25.9	15.9
14800	15.9	432	25.9	15.9
14800	15.9	432	25.9	15.9
14800	15.9	432	25.9	16.0
14800	16.0	432	25.9	16.0
14800	16.0	432	25.9	16.0
14800	16.0	432	25.9	16.0
14800	16.0	432	25.9	16.0
14800	16.0	432	25.9	16.0
14800	16.0	432	25.9	16.0
14800	16.0	432	25.9	16.0
14800	16.0	432	25.9	16.0
14800	16.0	432	26.0	16.0
14800	16.0	432	26.0	16.0
14800	16.0	432	26.0	16.0
14800	16.0	432	26.0	16.0
14800	16.0	432	26.0	16.0
14800	16.0	432	26.0	16.0
14800	16.0	432	26.0	16.0
14800	16.0	432	26.0	16.0
14800	16.0	432	26.0	16.0
14800	16.0	432	26.0	16.0
14800	16.0	432	26.0	16.0
14800	16.0	432	26.0	16.0
14800	16.0	432	26.0	16.0
14800	16.0	432	26.0	16.0
14800	16.0	432	26.1	16.1
14800	16.1	432	26.1	16.1
14800	16.1	432	26.1	16.1
14800	16.1	432	26.1	16.1
14800	16.1	432	26.1	16.1
14800	16.1	432	26.1	16.1
14800	16.1	432	26.1	16.1
14800	16.1	432	26.1	16.1
14800	16.1	432	26.1	16.1
14800	16.1	432	26.1	16.1
14800	16.1	432	26.1	16.1
14800	16.1	432	26.1	16.1
14800	16.1	432	26.1	16.1
14800	16.1	432	26.1	16.1
14800	16.1	432	26.2	16.1
14800	16.1	432	26.2	16.1
14800	16.1	432	26.2	16.1
14800	16.1	432	26.2	16.1
14800	16.1	432	26.2	16.1
14800	16.1	432	26.2	16.1
14800	16.1	432	26.2	16.1
14800	16.1	432	26.2	16.1
14800	16.1	432	26.2	16.1
14800	16.1	432	26.2	16.2
14800	16.2	432	26.2	16.2
14800	16.2	432	26.2	16.2
14800	16.2	432	26.2	16.2
14800	16.2	432	26.2	16.2
14800	16.2	432	26.3	16.2
14800	16.2	432	26.3	16.2
14800	16.2	432	26.3	16.2
14800	16.2	432	26.3	16.2
14800	16.2	432	26.3	16.2
14800	16.2	432	26.3	16.2
14800	16.2	432	26.3	16.2
14800	16.2	432	26.3	16.2
14800	16.2	432	26.3	16.2
14800	16.2	432	26.3	16.2
14800	16.2	432	26.3	16.2
14800	16.2	432	26.3	16.2
14800	16.2	432	26.3	16.2
14800	16.2	432	26.3	16.2
14800	16.2	432	26.4	16.2
14800	16.2	432	26.4	16.2
14800	16.2	432	26.4	16.2
14800	16.2	432	26.4	16.3
14800	16.3	432	26.4	16.3
14800	16.3	432	26.4	16.3
14800	16.3	432	26.4	16.3
14800	16.3	432	26.4	16.3
14800	16.3	432	26.4	16.3
14800	16.3	432	26.4	16.3
14800	16.3	432	26.4	16.3
14800	16.3	432	26.4	16.3
14800	16.3	432	26.4	16.3
14800	16.3	432	26.4	16.3
14800	16.3	432	26.5	16.3
14800	16.3	432	26.5	16.3
14800	16.3	432	26.5	16.3
14800	16.3	432	26.5	16.3
14800	16.3	432	26.5	16.3
14800	16.3	432	26.5	16.3
14800	16.3	432	26.5	16.3
14800	16.3	432	26.5	16.3
14800	16.3	432	26.5	16.3
14800	16.3	432	26.5	16.3
14800	16.3	432	26.5	16.3
14800	16.3	432	26.5	16.3
14800	16.3	432	26.5	16.4
14800	16.4	432	26.5	16.4
14800	16.4	432	26.6	16.4
14800	16.4	432	26.6	16.4
14800	16.4	432	26.6	16.4
14800	16.4	432	26.6	16.4
14800	16.4	432	26.6	16.4
14800	16.4	432	26.6	16.4
14800	16.4	432	26.6	16.4
14800	16.4	432	26.6	16.4
14800	16.4	432	26.6	16.4
14800	16.4	432	26.6	16.4
14800	16.4	432	26.6	16.4
14800	16.4	432	26.6	16.4
14800	16.4	432	26.6	16.4
14800	16.4	432	26.6	16.4
14800	16.4	432	26.7	16.4
14800	16.4	432	26.7	16.4
14800	16.4	432	26.7	16.4
14800	16.4	432	26.7	16.4
14800	16.4	432	26.7	16.4
14800	16.4	431	26.7	16.4
14800	16.4	432	26.7	16.5
14800	16.5	432	26.7	16.5
14800	16.5	432	26.7	16.5
14800	16.5	432	26.7	16.5
14800	16.5	432	26.7	16.5
14800	16.5	432	26.7	16.5
14800	16.5	432	26.7	16.5
14800	16.5	432	26.7	16.5
14800	16.5	432	26.8	16.5
14800	16.5	432	26.8	16.5
14800	16.5	432	26.8	16.5
14800	16.5	432	26.8	16.5
14800	16.5	432	26.8	16.5
14800	16.5	432	26.8	16.5
14800	16.5	432	26.8	16.5
14800	16.5	432	26.8	16.5
14800	16.5	432	26.8	16.5
14800	16.5	432	26.8	16.5
14800	16.5	431	26.8	16.5
14800	16.5	432	26.8	16.5
14800	16.5	432	26.8	16.5
14800	16.5	432	26.8	16.5
14800	16.5	432	26.9	16.5
14800	16.5	432	26.9	16.6
14800	16.6	432	26.9	16.6
14800	16.6	431	26.9	16.6
14800	16.6	432	26.9	16.6
14800	16.6	432	26.9	16.6
14800	16.6	431	26.9	16.6
14800	16.6	432	26.9	16.6
14800	16.6	432	26.9	16.6
14800	16.6	431	26.9	16.6
14800	16.6	431	26.9	16.6
14800	16.6	432	26.9	16.6
14800	16.6	431	26.9	16.6
14800	16.6	431	26.9	16.6
14800	16.6	432	27.0	16.6
14800	16.6	431	27.0	16.6
14800	16.6	431	27.0	16.6
14800	16.6	432	27.0	16.6
14800	16.6	432	27.0	16.6
14800	16.6	431	27.0	16.6
14800	16.6	432	27.0	16.6
14800	16.6	432	27.0	16.6
14800	16.6	431	27.0	16.6
14800	16.6	432	27.0	16.6
14800	16.6	432	27.0	16.7
14800	16.7	431	27.0	16.7
14800	16.7	431	27.0	16.7
14800	16.7	432	27.0	16.7
14800	16.7	431	27.1	16.7
14800	16.7	431	27.1	16.7
14800	16.7	432	27.1	16.7
14800	16.7	432	27.1	16.7
14800	16.7	431	27.1	16.7
14800	16.7	431	27.1	16.7
14800	16.7	431	27.1	16.7
14800	16.7	431	27.1	16.7
14800	16.7	431	27.1	16.7
14800	16.7	431	27.1	16.7
14800	16.7	431	27.1	16.7
14800	16.7	431	27.1	16.7
14800	16.7	431	27.1	16.7
14800	16.7	431	27.1	16.7
14800	16.7	431	27.2	16.7
14800	16.7	431	27.2	16.7
14800	16.7	431	27.2	16.7
14800	16.7	431	27.2	16.7
14800	16.7	431	27.2	16.8
14800	16.8	431	27.2	16.8
14800	16.8	431	27.2	16.8
14800	16.8	431	27.2	16.8
14800	16.8	431	27.2	16.8
14800	16.8	431	27.2	16.8
14800	16.8	431	27.2	16.8
14800	16.8	431	27.2	16.8
14800	16.8	431	27.2	16.8
14800	16.8	431	27.2	16.8
14800	16.8	431	27.3	16.8
14800	16.8	431	27.3	16.8
14800	16.8	431	27.3	16.8
14800	16.8	431	27.3	16.8
14800	16.8	431	27.3	16.8
14800	16.8	431	27.3	16.8
14800	16.8	431	27.3	16.8
14800	16.8	431	27.3	16.8
14800	16.8	431	27.3	16.8
14800	16.8	431	27.3	16.8
14800	16.8	431	27.3	16.8
14800	16.8	431	27.3	16.8
14800	16.8	431	27.3	16.8
14800	16.8	431	27.3	16.9
14800	16.9	431	27.4	16.9
14800	16.9	431	27.4	16.9
14800	16.9	431	27.4	16.9
14800	16.9	431	27.4	16.9
14800	16.9	431	27.4	16.9
14800	16.9	431	27.4	16.9
14800	16.9	431	27.4	16.9
14800	16.9	431	27.4	16.9
14800	16.9	431	27.4	16.9
14800	16.9	431	27.4	16.9
14800	16.9	431	27.4	16.9
14800	16.9	431	27.4	16.9
14800	16.9	431	27.4	16.9
14800	16.9	431	27.5	16.9
14800	16.9	431	27.5	16.9
14800	16.9	431	27.5	16.9
14800	16.9	431	27.5	16.9
14800	16.9	431	27.5	16.9
14800	16.9	431	27.5	16.9
14800	16.9	431	27.5	16.9
14800	16.9	431	27.5	16.9
14800	16.9	431	27.5	16.9
14800	16.9	431	27.5	17.0
14800	17.0	431	27.5	17.0
14800	17.0	431	27.5	17.0
14800	17.0	431	27.5	17.0
14800	17.0	431	27.5	17.0
14800	17.0	431	27.6	17.0
14800	17.0	431	27.6	17.0
14800	17.0	431	27.6	17.0
14800	17.0	431	27.6	17.0
14800	17.0	431	27.6	17.0
14800	17.0	431	27.6	17.0
14800	17.0	431	27.6	17.0
14800	17.0	431	27.6	17.0
14800	17.0	431	27.6	17.0
14800	17.0	431	27.6	17.0
14800	17.0	431	27.6	17.0
14800	17.0	431	27.6	17.0
14800	17.0	431	27.6	17.0
14800	17.0	431	27.6	17.0
14800	17.0	431	27.7	17.0
14800	17.0	431	27.7	17.0
14800	17.0	431	27.7	17.0
14800	17.0	431	27.7	17.1
14800	17.1	431	27.7	17.1
14800	17.1	431	27.7	17.1
14800	17.1	431	27.7	17.1
14800	17.1	431	27.7	17.1
14800	17.1	431	27.7	17.1
14800	17.1	431	27.7	17.1
14800	17.1	431	27.7	17.1
14800	17.1	431	27.7	17.1
14800	17.1	431	27.7	17.1
14800	17.1	431	27.7	17.1
14800	17.1	431	27.8	17.1
14800	17.1	431	27.8	17.1
14800	17.1	431	27.8	17.1
14800	17.1	431	27.8	17.1
14800	17.1	431	27.8	17.1
14800	17.1	431	27.8	17.1
14800	17.1	431	27.8	17.1
14800	17.1	431	27.8	17.1
14800	17.1	431	27.8	17.1
14800	17.1	431	27.8	17.1
14800	17.1	431	27.8	17.1
14800	17.1	431	27.8	17.1
14800	17.1	431	27.8	17.2
14800	17.2	431	27.8	17.2
14800	17.2	431	27.9	17.2
14800	17.2	431	27.9	17.2
14800	17.2	431	27.9	17.2
14800	17.2	431	27.9	17.2
14800	17.2	431	27.9	17.2
14800	17.2	431	27.9	17.2
14800	17.2	431	27.9	17.2
14800	17.2	431	27.9	17.2
14800	17.2	431	27.9	17.2
14800	17.2	431	27.9	17.2
14800	17.2	431	27.9	17.2
14800	17.2	431	27.9	17.2
14800	17.2	431	27.9	17.2
14800	17.2	431	27.9	17.2
14800	17.2	431	28.0	17.2
14800	17.2	431	28.0	17.2
14800	17.2	431	28.0	17.2
14800	17.2	431	28.0	17.2
14800	17.2	431	28.0	17.2
14800	17.2	431	28.0	17.2
14800	17.2	431	28.0	17.3
14800	17.3	431	28.0	17.3
14800	17.3	431	28.0	17.3
14800	17.3	431	28.0	17.3
14800	17.3	431	28.0	17.3
14800	17.3	431	28.0	17.3
14800	17.3	431	28.0	17.3
14800	17.3	431	28.0	17.3
14800	17.3	431	28.1	17.3
14800	17.3	431	28.1	17.3
14800	17.3	431	28.1	17.3
14800	17.3	431	28.1	17.3
14800	17.3	431	28.1	17.3
14800	17.3	431	28.1	17.3
14800	17.3	431	28.1	17.3
14800	17.3	431	28.1	17.3
14800	17.3	431	28.1	17.3
14800	17.3	431	28.1	17.3
14800	17.3	431	28.1	17.3
14800	17.3	431	28.1	17.3
14800	17.3	431	28.1	17.3
14800	17.3	431	28.1	17.3
14800	17.3	431	28.2	17.3
14800	17.3	431	28.2	17.4
14800	17.4	431	28.2	17.4
14800	17.4	431	28.2	17.4
14800	17.4	431	28.2	17.4
14800	17.4	431	28.2	17.4
14800	17.4	431	28.2	17.4
14800	17.4	431	28.2	17.4
14800	17.4	431	28.2	17.4
14800	17.4	431	28.2	17.4
14800	17.4	431	28.2	17.4
14800	17.4	431	28.2	17.4
14800	17.4	431	28.2	17.4
14800	17.4	431	28.2	17.4
14800	17.4	431	28.3	17.4
14800	17.4	431	28.3	17.4
14800	17.4	431	28.3	17.4
14800	17.4	431	28.3	17.4
14800	17.4	431	28.3	17.4
14800	17.4	431	28.3	17.4
14800	17.4	431	28.3	17.4
14800	17.4	431	28.3	17.4
14800	17.4	431	28.3	17.4
14800	17.4	431	28.3	17.4
